index,heartrate,steps_window_12,predicted_label
2020-08-15 10:00:00,-2.675685172385544,2.4202229689617893,Anomalous
2020-08-15 11:00:00,-2.3789675415562117,2.4536097188634205,Anomalous
2020-08-15 15:00:00,-2.7179218924623214,2.954932635355101,Anomalous
2020-08-15 19:00:00,-2.8317303808798817,3.177619648859143,Anomalous
2020-08-15 20:00:00,-2.1211177004323614,2.9632624948315662,Anomalous
2020-08-15 21:00:00,-0.9921424066796356,1.3544151836404805,Normal
2020-08-15 23:00:00,-1.0219543786662346,0.9056469708200797,Normal
2020-08-16 00:00:00,-0.7685908821290726,0.29833851232296166,Normal
2020-08-16 01:00:00,-0.8668293206106702,0.265734264372149,Normal
2020-08-16 02:00:00,-0.8331424523877479,-0.29766714021787705,Normal
2020-08-16 03:00:00,-0.8175290480092049,-0.3359227911468271,Normal
2020-08-16 04:00:00,-0.9181913961359479,-0.2684537340539501,Normal
2020-08-16 10:00:00,-1.0794883933246513,-0.10464999234907194,Normal
2020-08-16 12:00:00,-1.249111733861322,-0.0368331566113831,Normal
2020-08-16 13:00:00,-1.4554109988550654,0.07989005105252242,Normal
2020-08-16 16:00:00,-0.9166994157381305,0.0329624196916009,Normal
2020-08-16 19:00:00,-0.5457874276428953,0.23849160386213683,Normal
2020-08-16 21:00:00,-0.7376883988316578,0.7829307918661691,Normal
2020-08-16 22:00:00,-0.4558631031625174,1.1119103935426247,Normal
2020-08-16 23:00:00,-0.25285082019275884,1.0946067011661176,Normal
2020-08-17 00:00:00,-0.4251856086448126,0.6508991134977374,Normal
2020-08-17 02:00:00,-0.19766325737894827,-0.1560715491172094,Normal
2020-08-17 03:00:00,-0.006562485998003774,-0.4832318885550699,Normal
2020-08-17 04:00:00,0.07697688245178219,-0.5741511628407603,Normal
2020-08-17 05:00:00,0.4057981568627717,-1.2578430633999014,Normal
2020-08-17 06:00:00,0.7211200992038441,-1.5624221451720324,Normal
2020-08-17 08:00:00,0.5903828234310889,-1.3010085304908572,Normal
2020-08-17 09:00:00,0.4833902929659762,-1.1114691690701393,Normal
2020-08-17 12:00:00,0.4986889591598089,-1.1114691690701384,Normal
2020-08-17 13:00:00,0.3859722796078267,-1.0486205996868616,Normal
2020-08-17 14:00:00,0.23917935780548388,-0.9601854585783713,Normal
2020-08-17 17:00:00,0.1596038272762044,-0.8688935643160991,Normal
2020-08-17 18:00:00,-0.1688976452775485,-0.3967840539883454,Normal
2020-08-17 22:00:00,-0.46644873469224485,-0.17942240098293225,Normal
2020-08-17 23:00:00,-0.5926228905147992,-0.125516711037591,Normal
2020-08-18 00:00:00,-0.45448447145800747,-0.3433130873490127,Normal
2020-08-18 02:00:00,-0.4861295751291216,-0.4260777167626102,Normal
2020-08-18 03:00:00,-0.33692620714439403,-0.4802509287424226,Normal
2020-08-18 05:00:00,-0.181071045294757,-0.4802509287424226,Normal
2020-08-18 06:00:00,-0.07286342460589648,-0.34698847529983096,Normal
2020-08-18 11:00:00,0.14179081032112503,-0.2594114892889251,Normal
2020-08-18 12:00:00,0.4584915492696742,-0.2256769607424857,Normal
2020-08-18 15:00:00,0.35701408239297433,-0.04378872950755643,Normal
2020-08-18 16:00:00,-0.0071751227706740245,-0.036833156611384955,Normal
2020-08-18 19:00:00,0.033720824349293715,0.15340176209895212,Normal
2020-08-18 20:00:00,0.47114215017200445,0.3483774528622088,Normal
2020-08-18 22:00:00,0.5921292689878772,0.6061226129786244,Normal
2020-08-18 23:00:00,0.5983536106067069,0.6637669233556587,Normal
2020-08-19 00:00:00,0.97185321858317,0.41701797486391406,Normal
2020-08-19 01:00:00,0.9526424469181469,0.3126843814213178,Normal
2020-08-19 02:00:00,0.8373646067310375,0.2813843033885392,Normal
2020-08-19 04:00:00,0.6380550861053945,0.28138430338853826,Normal
2020-08-19 05:00:00,0.5085628043933245,0.28138430338853826,Normal
2020-08-19 06:00:00,0.548061293304126,0.23443418633937035,Normal
2020-08-19 07:00:00,0.38389628850956337,0.2292175066672406,Normal
2020-08-19 11:00:00,0.4460233034735652,-0.32343437617415277,Normal
2020-08-19 17:00:00,0.48571729848265777,-0.9721403494936692,Normal
2020-08-19 18:00:00,-0.043568393741029075,-0.05574362042285246,Normal
2020-08-19 19:00:00,0.26914912192910356,0.14894795171220598,Normal
2020-08-19 22:00:00,1.026125053955498,-0.4029788610990005,Normal
2020-08-19 23:00:00,1.096887201342686,-0.6524013579227096,Normal
2020-08-20 00:00:00,1.1419764343241134,-0.688918115627618,Normal
2020-08-20 01:00:00,1.184035814274185,-0.7353465647095749,Normal
2020-08-20 02:00:00,1.2172745569968768,-0.8036850684144756,Normal
2020-08-20 03:00:00,1.3086841324376453,-0.9406229098078845,Normal
2020-08-20 04:00:00,1.6616888803109933,-1.4505533477585797,Anomalous
2020-08-20 05:00:00,1.8773253731254842,-1.638353815955255,Anomalous
2020-08-20 06:00:00,1.8235409997877994,-1.6383538159552569,Anomalous
2020-08-20 07:00:00,1.7338085466222515,-1.5420458835467037,Anomalous
2020-08-20 08:00:00,1.5090943521534728,-1.2471028405455151,Normal
2020-08-20 09:00:00,0.7798238266639483,-0.22115583835997038,Normal
2020-08-20 12:00:00,0.33886861388011696,0.46501142784751015,Normal
2020-08-20 15:00:00,0.49266342021670995,0.47961813092947314,Normal
2020-08-20 17:00:00,0.2788786494797608,0.6801994643228628,Normal
2020-08-20 18:00:00,-0.22556507013599159,0.789430940346521,Normal
2020-08-20 19:00:00,-0.33986858820485105,0.47638875779910916,Normal
2020-08-20 21:00:00,-0.10251387515693833,0.2553009050278904,Normal
